,Company,Cities,Year of Starting,Founders,Industries,Funding Amount,Funding Rounds,Number of Employees,Number of Investors
137,138) DukaanÂ®,Bengaluru,2019,"Deepu Panicker, Raunak Munot, Rohit Jaiswal, Shantanu Deshpande",DIY,"107,701,572",1,501-1000,9
138,139) Play Shifu,Bengaluru,2016,"Kadam Jeet Jain, Rahul Chaudhary, Sidharth Gupta","Augmented Reality, Education, Media and Entertainment, STEM Education, Toys","27,575,748",5,11-50,10
139,140) Lava International Limited,Noida,2009,"Pawan Gupta, Rahul Namdev","Consumer Electronics, Mobile, Telecommunications","68,955,715",1,101-250,1
140,141) Vivriti Capital,Chennai,2017,"Anjali Naik, Anurag Gupta, Paramdeep Singh, Rishi Malhotra, Vinodh Bhat","Analytics, Banking, Crowdfunding, Financial Services, FinTech, Insurance, Marketplace","2,428,380,000",4,501-1000,2
141,142) DocsApp,Bengaluru,2015,Ankur Warikoo,"Health Care, Medical, Mobile Apps, Wellness","17,696,569",5,101-250,11
142,143) Furlenco,Bengaluru,2012,"Alok Mittal, Siddharth Mahanot, Sundeep Sahi","Consumer, Furniture, Home Decor, Home Improvement, Rental, Subscription Service","69,174,397",16,1001-5000,21
143,144) Swiggy,Bengaluru,2014,"Ganesh Krishnan, Karan Aneja, Manjusha Anumolu, Meena Ganesh, Zachary Jones","Delivery Service, E-Commerce Platforms, Restaurants","4,600,000",14,51-100,23
144,145) Bombay Shaving Company,Delhi,2015,Tushar Aggarwal,"Consumer Goods, E-Commerce, Lifestyle, Men's","131,591,747",6,5001-10000,16
145,146) Treebo Hotels,Bengaluru,2015,"Kanika Gupta, Tanuj Shori","Hospitality, Hotel, Internet","37,237,275",9,101-250,16
146,147) Betterhalf,Bengaluru,2016,"Mathew Cherian, Sachin Shenoy, Tushar Vashisht","Artificial Intelligence, Consumer Applications, Dating","35,826,551",3,11-50,10
147,148) JioSaavn,Mumbai,2007,Deepak Bhagchandani,"Internet, Mobile, Music, Music Streaming, Video Streaming","76,066,894",7,101-250,13
148,149) nearbuy,Delhi,2011,"Abhinav Pathak, Saketh BSV, Yogesh Ghaturle","Apps, E-Commerce, Internet, Restaurants, Travel","75,000,000",3,51-100,2
149,150) Indifi Technologies,Gurgaon,2015,"Rajeev Gaba, Tarun Bhalla","Credit, Financial Services, FinTech, Lending","73,000,000",5,101-250,15
150,151) Portea Medical,Bengaluru,2013,Sumant Sinha,"Health Care, Home Health Care, Hospital, Medical","25,000,000",6,251-500,10
151,152) Stashfin,Delhi,2016,Kavin Bharti Mittal,"Apps, Banking, Finance, Financial Services, FinTech","2,225,000",3,101-250,14
152,153) Square Yards,Gurgaon,2014,"Raghuraj Sunder Raju, Sandeep Gudibanda","Market Research, Real Estate","6,361,203",6,5001-10000,11
153,154) HealthifyMe,Bengaluru,2012,Manish Patel,"Apps, Fitness, Health Care, mHealth","2,776,179,257",7,101-250,17
154,155) QuickSell,Mumbai,2017,"Archit Jayasal, Kunaal Dudeja, Nalin Saluja, Paarul Dudeja",Software,"261,000,000",2,1-10,6
155,156) Perpule,Bengaluru,2016,Rahul Mathur,"Apps, Billing, Enterprise Software, Mobile Payments, Point of Sale, Retail Technology, SaaS, Shopping, Software","22,523,899",3,501-1000,5
156,157) Avishkaar,Delhi,2014,Pradeep Dadha,"EdTech, Education","97,467,607",2,51-100,4
157,158) ReNew Power,Gurgaon,2011,Yogesh Kabra,"Clean Energy, Energy, Renewable Energy, Solar, Wind Energy","3,450,000",12,1001-5000,9
158,159) Hike,Delhi,2012,Vijay Shekhar Sharma,"Apps, Messaging, Mobile, Online Portals, Social Network","545,000",5,501-1000,10
159,160) HealthPlix,Bengaluru,2014,"Ashish Hemrajani, Parikshit Dar, Rajesh Balpande","Artificial Intelligence, Health Care, Wellness","99,000,000",3,101-250,4
160,161) Mswipe Technologies,Mumbai,2011,Aditi Avasthi,"Financial Services, Payments","4,923,799",9,251-500,14
161,162) Virohan,Gurgaon,2018,"Annanya Sarthak, Gurpreet Singh, Praveen Sah","Continuing Education, Corporate Training, EdTech, Health Care, Higher Education, Vocational Education","4,432,652,051",6,101-250,9
162,163) BimaPe,Mumbai,2020,"Aloke Bajpai, Dharmendra Yashovardhan, Rajnish Kumar","Consumer Applications, FinTech, InsurTech","224,500,000",2,251-500,5
163,164) Netmeds,Chennai,2010,"Amit Singh, Deepanshu Malviya","E-Commerce, Health Care, Pharmaceutical","196,656,376",3,1001-5000,4
164,165) XYXX Apparels,,2017,"Amuleek Singh Bijral, Gaganjot Kaur","Gaming, Sports","5,463,025",3,51-100,3
165,166) One97,Noida,2000,"Ankush Aggarwal, Tushar Mehndiratta","Finance, FinTech, Internet, Mobile Advertising, Mobile Payments, Software","35,500,000",13,101-250,15
166,167) BookMyShow,Mumbai,1999,Bhavin Turakhia,"Digital Entertainment, E-Commerce, Event Management, Events, Internet, Media and Entertainment, Online Auctions, Social Media, Sports","122,313,023",6,51-100,6
167,168) Embibe,Mumbai,2012,"Kunal Sinha, Nilesh Padariya, Nitesh Pant, Shekhar Sahu, Sonal Verma","Content Creators, Digital Marketing, EdTech, Education, Tutoring","46,221,395",4,501-1000,4
168,169) Awign Enterprises,Bengaluru,2016,"Rama Harinath, Srikanth Iyer, Tanuj Choudhry, Vivek Parasuram","Business Development, E-Commerce, EdTech, Hospitality, Information Technology, Last Mile Transportation, Marketing, Outsourcing","41,443,027",5,251-500,11
169,170) ixigo,Gurgaon,2006,"Binod Kumar Homagai, Sagar Daryani, Shah Miftaur Rahman","Mobile, Mobile Apps, Tourism, Travel","45,000,000",5,11-50,6
170,171) Shuttl,Gurgaon,2015,"Ankit Parasher, Pushkar Singh, Sudarshan Ravi","Apps, Mobile, Software, Transportation","31,300,000",13,11-50,22
171,172) Chai Point,Bengaluru,2010,"Hitesh Mohkar, Tushar Dhakate","Food and Beverage, Food Processing, Restaurants, Snack Food, Tea","63,359,735",9,501-1000,6
172,173) Avail Finance,Bengaluru,2017,"Achal Mittal, Ajay Nain, Geetansh Bamania","Finance, FinTech, Mobile Payments","37,996,690",5,251-500,8
173,174) Flock,Mumbai,2014,"Kapil Karekar, Richa Kar","Apps, Collaboration, Developer Platform, Enterprise Software, Messaging, Productivity Tools, Video Chat","24,628,092",3,501-1000,2
174,175) GlowRoad,Bengaluru,2017,"Umang Bedi, Virendra Gupta","E-Commerce, Retail, Social Shopping","51,443,326",4,11-50,7
175,176) HomeLane,Bengaluru,2014,"Neeraj Khandelwal, Sumit Gupta","Home Decor, Home Improvement, Interior Design, Internet","742,000,000",9,501-1000,12
176,177) Wow! Momo,Kolkata,2008,"Chakradhar Gade, Nitin Kaushal","Food and Beverage, Food Delivery, Food Processing","69,002,120",5,1001-5000,6
177,178) LetsTransport,Bengaluru,2015,"Adhil Shetty, Arjun Shetty, Rati Shetty","Logistics, Transportation, Travel","434,009,213",8,251-500,12
178,179) Digital Class E-Learning Marketplace,Ahmedabad,2017,"Anshul Rai, Varun Rathi","B2B, B2C, E-Learning, EdTech, Marketplace","5,500,000",1,1001-5000,19
179,180) RentoMojo,Bengaluru,2014,V K Ranganathan,"E-Commerce, Furniture, Internet, Rental","44,247,827",14,101-250,2
180,181) SBI Life,Mumbai,2001,"Abhishek Humbad, Richa Bajpai","Financial Services, Health Care, Insurance","115,000,000",1,101-250,11
181,182) Zivame.com,Bengaluru,2011,"Chaitra Chidanand, Nityanand Sharma","E-Commerce, Fashion, Internet, Lingerie","21,556,985",8,51-100,22
182,183) VerSe Innovation,Bengaluru,2007,"Lalit Aggarwal, Raghav Arora","Content, Internet, Social Media","456,059,601",20,1001-5000,10
183,184) CoinDCX,Mumbai,2017,"Radhika Aggarwal, Sandeep Aggarwal, Sanjay Sethi","Blockchain, Cryptocurrency, Financial Services, FinTech, Trading Platform","17,612,830",3,51-100,6
184,185) Country Delight,,2015,"Saurabh Pandey, Varun Vohra","Agriculture, Delivery Service, Food and Beverage, Food Delivery","26,700,000",9,251-500,16
185,186) BankBazaar.com,Chennai,2008,Sandeep Aggarwal,"E-Commerce, Finance, FinTech, Insurance, Marketplace","621,291",6,1001-5000,8
186,187) Happay,Whitefield,2012,"Amit Raj, Anshul Gupta","Financial Services, FinTech, SaaS, Software","257,002,291",7,51-100,8
187,188) Five Star Business Finance,Kilpauk,1984,"Rohan Bhargava, Swati Bhargava","Banking, Finance, Financial Services, Personal Finance","7,000,000",7,101-250,6
188,189) Goodera,Bengaluru,2014,Krishna Kumar,"Computer, Events, Software, Sustainability","133,000,000",3,11-50,5
189,190) Simpl,Bengaluru,2015,Jitendra Gupta,"E-Commerce, Financial Services, Lending, Payments","32,668,662",3,101-250,6
190,191) F5 Refreshement,Delhi,2018,"Amit Sharma, Apoorva Jois",Food and Beverage,"14,550,000",2,51-100,12
191,192) ShopClues,Gurgaon,2011,"Avinash Saxena, Kaushal Shubhank, Mayank Bhangadia","E-Commerce, Internet, Marketplace, Shopping","32,599,576",11,101-250,1
192,193) Aknamed,Bengaluru,2018,"Shridhar Gupta, Vidit Jain","Health Care, Hospital, Supply Chain Management","26,000,000",1,51-100,10
193,194) Droom,Haryana,2014,"Gaurav Baid, Mayank Tiwari, Prashanth Aluru, Sravanth Aluru","Automotive, B2B, E-Commerce, E-Commerce Platforms, Internet, Marketplace, News","56,417,592",7,51-100,10
194,195) Box8,Mumbai,2012,"Anmol Jaggi, Punit Goyal","Delivery, E-Commerce, Food and Beverage, Food Delivery","32,697,880",9,1-10,3
195,196) Cashkaro,Gurgaon,2013,Kabir Siddiq,"Coupons, Customer Service, E-Commerce, Internet, Retail","7,420,000",4,101-250,12
196,197) CropIn,Bengaluru,2010,"Abhay Girnara, Amit Jain, Amrita Sirohia, Ashish Kashyap, Monika Dua, Pratiksha Dake","Analytics, Artificial Intelligence, Farming, Forestry, Information and Communications Technology (ICT), Machine Learning, Predictive Analytics, SaaS, Satellite Communication, Software","7,000,000",10,101-250,7
197,198) Jupiter,Mumbai,2019,"Dhruv Agrawal, Himanshu Gupta, Soham Chokshi","Banking, Consulting, Financial Services, Wealth Management","17,062,939",2,251-500,5
198,199) ShopX,Bengaluru,2015,"Karan Mehta, Krishnan Vishwanathan","B2B, E-Commerce, Internet","56,891,230",4,251-500,6
199,200) Roposo,Gurgaon,2012,"Mahesh Pratapneni, Sam Santhosh","Internet, Social Network, TV","7,697,983",5,51-100,3
200,201) LocoNav,Azadpur,2015,"Adarsh Manpuria, Vaibhav Aggarwal","Computer, Software, Software Engineering","49,247,312",3,11-50,1
201,202) Avataar.Me,Bengaluru,2016,"Pramod Nair, Raghuram Talluri, Rakib Ahmed, Tanmoy Karmakar","3D Technology, Augmented Reality, E-Commerce, Fashion, Mobile Apps, Software, Virtual Reality","119,000,000",1,501-1000,20
202,203) BluSmart Mobility,Ahmedabad,2019,"Sanjeev Kumar, Shobhit Bhatnagar, Vibhu Bhushan","Electric Vehicle, Mobile Apps, Ride Sharing","48,598,636",5,251-500,3
203,204) SleepyCat,Mumbai,2017,"Kunal Shah, Sandeep Tandon",E-Commerce,"21,262,496",1,251-500,4
204,205) INDwealth,Gurgaon,2018,Sameer Maheshwari,"Artificial Intelligence, Financial Services, FinTech, Machine Learning, Personal Finance, Wealth Management","10,020,000",3,101-250,8
205,206) Shipsy,Gurgaon,2015,"Cheolwon Lee, Jay Yi, Martin Lee","Big Data, Internet of Things, Logistics, Machine Learning, Software, Supply Chain Management","177,639,874",4,51-100,8
206,207) Kissht,Mumbai,2015,"Devendra Rane, Varun Dua","Credit, Finance, Financial Services, FinTech, Lending, Sales Automation","61,000,000",6,501-1000,12
207,208) MedGenome,Bengaluru,2013,Akshay Mehrotra,"Biotechnology, Genetics, Health Care, Health Diagnostics, Medical","99,640,920",6,101-250,9
208,209) Fabhotels,Gurgaon,2015,"Mihir Mohan Mishra, Nirant Ramakuru, Ruchi Deepak","E-Commerce, Hospitality, Hotel, Travel Accommodations","51,250,370",7,101-250,9
209,210) Loadshare,Bengaluru,2017,"Anshul Mimani, Manish Somani","Delivery Service, Industrial Automation, Logistics, Software, Supply Chain Management","33,267,529",7,1001-5000,2
210,211) Gradeup,Noida,2015,Ankur Jain,"Education, Mobile, Online Portals","9,702,517",5,251-500,7
211,212) FreeCharge,Mumbai,2010,"Kunal Malik, Maneesh Dhooper","Coupons, E-Commerce, Internet, Payments","160,465,015",7,1-10,8
212,213) Healthkart,Gurgaon,2011,"Ankush Mehra, Manish Saksena, Prashant Malik, Suchi Mukherjee","Dietary Supplements, E-Commerce, Fitness, Health Care, Retail, Wellness","51,944,731",4,251-500,24
213,214) Saveo,Bengaluru,2019,"Prashant Gupta, Rahul Ranjan, Ranjeet Pratap Singh, Sahradayi Modi, Sankaranarayanan Devarajan","Fitness, Health Care, Wellness","29,833,055",2,51-100,17
214,215) True Balance,Gurgaon,2014,Swapnil Shah,"Apps, Financial Services, FinTech, Insurance, Mobile Payments, Personal Finance","1,284,058",7,11-50,13
215,216) Coverfox Insurance,Mumbai,2013,"Akshay Pruthi, Anurag Dalia, Himanshu Periwal, Vipul Agrawal","Auto Insurance, Health Insurance, Insurance, InsurTech, Life Insurance, Travel","139,178,803",6,11-50,6
216,217) EarlySalary,Pune,2015,Bhaskar Rao,"Financial Services, FinTech, Personal Finance","21,500,000",7,11-50,12
217,218) Pitstop,Bengaluru,2015,"Abhimanyu Saxena, Anshuman Singh","Automotive, Service Industry","13,275,120",5,101-250,1
218,219) Wheels Eye,Gurgaon,2017,"Akash Deep, Mohit Sharma","Information Services, Information Technology","14,800,000",1,251-500,13
219,220) Bira 91,Delhi,2015,"Khushnud Khan, Rishi Raj Rathore","Brewing, Craft Beer, Food and Beverage, Wine And Spirits","173,773,498",14,251-500,4
220,221) PlanetSpark,Gurgaon,2016,Kartar Singh,"E-Learning, EdTech, Education","14,500,000",2,51-100,6
221,222) LimeRoad,Gurgaon,2012,Times Internet,"E-Commerce, Fashion, Internet, Shopping","10,500,000",5,1001-5000,12
222,223) Pratilipi,Bengaluru,2015,"Pavan Sondur, Prashant Kumar","Audio, Comics, Digital Media, EBooks, Podcast, Publishing, Reading Apps","19,900,000",5,1001-5000,3
223,224) Freight Tiger,Mumbai,2014,Sahil Sheth,"Automotive, Logistics, Transportation","28,000,000",1,101-250,4
224,225) unlu,Gurgaon,2020,"Amit Gupta, Hemant Gupta, Naveen Dachuri, RK Misra","Celebrity, Internet, Media and Entertainment, Social Media","23,300,000",2,501-1000,3
225,226) KIMS Hospitals,Hyderabad,2000,"Amit Sethi, Mandeep Manocha, Nakul Kumar","Health Care, Hospital, Medical","10,180,783",3,101-250,4
226,227) InterviewBit,Bengaluru,2015,"Anupam Agarwal, Karan Jain","E-Learning, Employment, Information Technology, Internet, Recruiting, Software","85,000,000",2,501-1000,10
227,228) Oye Rickshaw,Gurgaon,2017,"Anirban Majumdar, Devarshi Shah, Saurabh Gupta","Electric Vehicle, Last Mile Transportation, Public Transportation, Transportation","21,540,065",3,101-250,11
228,229) Arzooo.com,Bengaluru,2018,"Dhruv Agarwala, Kartik Varma, Prashan Agarwal","Consumer Electronics, Electronics, Retail, Retail Technology, Shopping","44,580,231",6,101-250,9
229,230) Amber Group,Gurgaon,1990,"Chintan Raikar, Prashant Iyengar, Sneh Vaswani","Consumer Electronics, Electronics, Home Services, Industrial Manufacturing, Machinery Manufacturing, Manufacturing","3,439,351,106",1,501-1000,6
230,231) Star Health and Allied Insurance,Nungambakkam,2006,"Sandipan Mitra, Uttam Kumar","Health Care, Health Insurance, Insurance","22,500,000",3,101-250,1
231,232) Magicbricks,Noida,2006,Ritesh Agarwal,"Commercial Real Estate, Online Portals, Real Estate","317,695,079",1,251-500,13
232,233) Unbxd,Bengaluru,2011,"Arnav Kumar, Vaibhav Singh","Artificial Intelligence, Big Data, E-Commerce, Machine Learning, Navigation, Product Search, Search Engine, Software","5,100,000",7,1-10,8
233,234) LIDO,Mumbai,2019,Madhukar Gangadi,"E-Learning, EdTech, Education, Software","824,830,000",2,11-50,7
234,235) Yulu,Bengaluru,2017,"Manish Tewari, Rohan Kaushal","Electric Vehicle, Ride Sharing, Sharing Economy, Transportation","13,670,000",4,51-100,9
235,236) Cashify,Gurgaon,2015,"Akshay Deshraj, Manoj Sarda, Sourabh Gupta","Consumer, Consumer Electronics, E-Commerce, Marketplace","17,000,000",5,501-1000,10
236,237) Revv,Gurgaon,2015,"Ankush Sachdeva, Bhanu Pratap Singh, Farid Ahsan","Apps, Automotive, Rental","12,550,000",3,51-100,4
237,238) UrbanPiper,Bengaluru,2015,"Mukesh Bansal, Prasanth Reddy, Sumit Sinha","Food and Beverage, Information Services, Information Technology, Software","241,361,584",3,51-100,3
238,239) PropTiger,Gurgaon,2011,"Aarti Gill, Mihir Gadani","Intellectual Property, Marketing, Real Estate","725,000",2,101-250,9
239,240) Miko,Mumbai,2015,"Abhishek Sagar, Ashutosh Kumar, Manoj Munna, Narendra Agrawal, Yadvendar Champawat","Artificial Intelligence, Consumer Electronics, EdTech, Hardware, Internet of Things, Machine Learning, Robotics","12,600,000",5,251-500,10
240,241) HungerBox,Bengaluru,2015,Ajay Kaushal,"B2B, Food and Beverage, Food Delivery","41,255,467",8,11-50,23
241,242) OYO,Gurgaon,2012,"Ganesh Balakrishnan, Utkarsh Biradar","Hospitality, Hotel, Leisure, Reservations, Travel","6,390,562",17,101-250,5
242,243) Leap Finance,Bengaluru,2019,"Ankit Ratan, Ankur Pandey, Arpit Ratan","Credit Cards, Education, Financial Services, FinTech, Lending","6,100,000",2,101-250,6
243,244) MedPlus,Hyderabad,2006,Anuj Rakyan,"E-Commerce, Health Care, Pharmaceutical, Wellness","26,963,740",7,51-100,8
244,245) PiggyRide,Bengaluru,2019,"Ajay Kumar, Jatin Jakharia, Kshitij Nagvekar, Kunal Patil, Lokesh Tiwari, Moiz Arsiwala, Nilesh Dungarwal, Soumil Rao","Children, Education, Information Services, Information Technology, Transportation","211,350,000",2,101-250,7
245,246) Vernacular.ai,Bengaluru,2016,"Ankit Utreja, Avlesh Singh","Artificial Intelligence, Call Center, Customer Service, Internet, Internet of Things, Machine Learning, Natural Language Processing, SaaS, Software, Speech Recognition","2,001,796",4,11-50,17
246,247) ShareChat,Bengaluru,2015,Subhra Chadda,"Internet, Mobile Apps, Social Media, Social Network","27,420,684",10,1001-5000,13
247,248) PhableCare,Bengaluru,2017,DHIRAJ C RAJARAM,"Health Care, Internet, Mobile Apps, Personal Health","17,271,725",5,11-50,4
248,249) OZiva,Mumbai,2016,"Aditi Olemann, Ganesh Suryanarayanan, Gopichand Katragadda","Dietary Supplements, Fitness, Health Care, Nutrition, Wellness","10,361,312",2,51-100,10
249,250) Testbook.com,Mumbai,2013,"Ramanathan RV, Vimal Kumar","E-Learning, EdTech, Education","8,923,539",5,11-50,7
250,251) Billdesk,Ahmedabad,2000,Shailendra Agarwal,"Finance, FinTech, Payments, Property Development, Rental","26,500,000",4,51-100,7
251,252) Flatheads,Bengaluru,2019,"Anish Khadiya, Mayank Kukreja","E-Commerce, Fashion, Retail, Shoes, Shopping","25,837,687",2,101-250,12
252,253) Signzy,Bengaluru,2015,"Sivaramakrishnan Narayanan, Yashwanth Madhusudan","Artificial Intelligence, Finance, Financial Services, FinTech, Risk Management, Software","5,168,764",6,11-50,7
253,254) RAW Pressery,Mumbai,2014,"Hitesh Dhingra, Rahul Kumar, Sachin Bhatia","Delivery, Food and Beverage, Food Processing, Organic Food","70,196,840",12,11-50,4
254,255) WorkIndia,Mumbai,2015,Ajit Isaac,"Human Resources, Recruiting, Staffing Agency","6,287,653",3,501-1000,8
255,256) WebEngage,Mumbai,2011,Rashmi Daga,"Enterprise Software, Marketing Automation, Personalization, SaaS","67,262,961",7,11-50,5
256,257) Chumbak,Bengaluru,2009,Gautam Virk,"E-Commerce, Lifestyle, Shopping","107,798,787",6,101-250,4
257,258) Mu Sigma,Bengaluru,2004,"Ashok Hariharan, Hatim Baheranwala, Vineet Jawa","Analytics, Business Information Systems, Information Services, Information Technology, Software","795,000,000",7,251-500,5
258,259) Myelin Foundry,Bengaluru,2019,Hardika Shah,"Artificial Intelligence, Health Care, Industrial, Information Services, Information Technology, Machine Learning, Media and Entertainment","52,800,000",4,51-100,6
259,260) JUSPAY,Kormangala,2012,"Keshav Prawasi, Nitin Babel, Sachin Jaiswal, Shishir Modi","FinTech, Internet, Mobile Payments, Payments","18,549,687",2,501-1000,5
260,261) DaMENSCH,Bengaluru,2018,"Abhishek Kumar, Shreyans Daga, Vijay Arisetty","E-Commerce, Men's, Textiles","5,569,257",3,101-250,2
261,262) InstantPay,Delhi,2013,"Dhruv Khaitan, Piyush Khaitan","E-Commerce, Electronics, Financial Exchanges, Financial Services, Mobile Payments, Payments, Transaction Processing","60,157,500",1,1001-5000,4
262,263) ITILITE,Bengaluru,2017,Vijay Shekhar Sharma,"Business Travel, Information Technology, Internet","166,195,349",3,251-500,10
263,264) Fyle,Bengaluru,2016,Rahul Anand,"Accounting, Artificial Intelligence, Business Information Systems, Business Travel, Finance, FinTech, SaaS","1,784,442",5,11-50,23
264,265) Trulymadly.com,Delhi,2013,Sahil Kini,"Apps, Dating, Internet","22,685,276",4,1-10,4
265,266) Quess Corp,Bengaluru,2007,"Matt Chitharanjan, Namrata Asthana","Information Technology, Recruiting","23,500,000",1,251-500,8
266,267) FreshMenu,Bengaluru,2014,Amit Gainda,"Delivery, Food and Beverage, Food Delivery, Food Processing","50,000,000",7,251-500,1
267,268) NODWIN Gaming,Gurgaon,2012,Avinash Mudaliar,"Events, Gaming, Internet, Social Media, Sports","56,286,865",1,11-50,8
268,269) IDfy,Mumbai,2011,"Achal Mittal, Gautam Adukia","E-Commerce, FinTech, Fraud Detection, Information Services, Information Technology, Insurance, Internet, Machine Learning","5,781,631",5,251-500,10
269,270) Kinara Capital,Bengaluru,2011,"Neha Kant, Pankaj Vermani, Suman Chowdhury","Finance, Financial Services, FinTech, Lending, Micro Lending, Social Entrepreneurship","40,833,000",8,101-250,14
270,271) Niki,Bengaluru,2015,"Ashok Kumar, Atul Shinghal, Sanjiv Singhal","Android, Natural Language Processing","20,970,000",10,501-1000,4
271,272) MyGate,Bengaluru,2016,Bhanu Chopra,"Apps, Information Services, Information Technology, Mobile Apps","129,250,000",3,101-250,9
272,273) Neogrowth,Mumbai,2010,"Ganesh Krishnamoorthy, Milap Shah, Rahul Jain, Rohan Mirchandani, Rohan Mirchandani, Uday Thakker","Business Development, Finance, Financial Services, Market Research","51,000,000",7,11-50,4
273,274) Paytm Mall,Noida,2010,"Tarun Sharma, Vikas Lachhwani","E-Commerce, E-Commerce Platforms, Internet, Marketplace, Retail, Shopping","3,709,141",3,1001-5000,16
274,275) Hopscotch,Mumbai,2011,"Nitin Saluja, Raghav Verma","E-Commerce, Internet, Retail","12,200,000",5,101-250,4
275,276) Setu,Bengaluru,2018,Dhawal Gusain,Financial Services,"108,650,000",2,1001-5000,4
276,277) Blue Tokai Coffee Roasters,Delhi,2012,Nagaraj Mylandla,"Consumer Goods, Delivery, Food and Beverage, Food Processing","515,200,000",3,101-250,2
